IDCLI,Profile_ID,profile_propensity,HP
1,8,2.85,1
2,12,1.49625,0
3,9,2.5861111111111112,0
4,8,2.85,0
5,NotHP,0.28500000000000003,0
6,9,2.5861111111111112,0
7,12,1.49625,0
8,7,3.15,0
9,9,2.5861111111111112,0
10,14,3.1171875,0
11,14,3.1171875,1
12,9,2.5861111111111112,0
13,12,1.49625,1
14,8,2.85,1
15,9,2.5861111111111112,0
16,NotHP,0.28500000000000003,0
17,7,3.15,1
18,12,1.49625,1
19,8,2.85,1
20,7,3.15,1
21,14,3.1171875,0
22,14,3.1171875,0
23,12,1.49625,0
24,9,2.5861111111111112,1
25,8,2.85,1
26,14,3.1171875,0
27,14,3.1171875,1
28,14,3.1171875,0
29,14,3.1171875,1
30,14,3.1171875,0
31,14,3.1171875,0
32,7,3.15,1
33,12,1.49625,0
34,8,2.85,0
35,7,3.15,0
36,NotHP,0.28500000000000003,0
37,8,2.85,0
38,12,1.49625,0
39,9,2.5861111111111112,0
40,8,2.85,1
41,14,3.1171875,0
42,14,3.1171875,1
43,9,2.5861111111111112,0
44,12,1.49625,0
45,9,2.5861111111111112,1
46,9,2.5861111111111112,1
47,NotHP,0.28500000000000003,1
48,8,2.85,0
49,12,1.49625,0
50,7,3.15,0
51,7,3.15,0
52,14,3.1171875,1
53,14,3.1171875,0
54,12,1.49625,0
55,8,2.85,1
56,9,2.5861111111111112,0
57,14,3.1171875,1
58,14,3.1171875,0
59,14,3.1171875,1
60,14,3.1171875,0
61,14,3.1171875,0
62,14,3.1171875,0
63,7,3.15,0
64,12,1.49625,0
65,7,3.15,0
66,9,2.5861111111111112,1
67,NotHP,0.28500000000000003,0
68,7,3.15,1
69,12,1.49625,0
70,9,2.5861111111111112,1
71,7,3.15,0
72,14,3.1171875,1
73,14,3.1171875,0
74,9,2.5861111111111112,1
75,12,1.49625,1
76,7,3.15,1
77,9,2.5861111111111112,0
78,NotHP,0.28500000000000003,0
79,8,2.85,0
80,12,1.49625,0
