Profile_ID,Capacita_d_ spsa,LTV,RFM_Score,Numero di Prodtti Aquistati negli ultimi 12 mesi,Eta,Tenure,LivelloDigitalizzazione,GrandCentr,Engagement,margins12months,GreenSurveyScore,score,HP,LP,TRICT,cluster_propensity,leaf_propensity,profile_volume,profile_pct,Professione,LifeCycle,ultimoPDTAcquistato,PDTCategTotalSpending
11,2.84375,2.6875,6.9375,2.46875,40.25,9.96875,3.53125,0.34375,0.74917857365625,466.800338975,7.85710702109375,0.6763001760625,0.3125,0.0,1.3125,0.30457089552238803,0.3125,64.0,0.08020050125313283,Impiegato,NeoLavoratore,DisposotivoMonitoraggio,Digitale
4,2.3230769230769233,2.2153846153846155,5.523076923076923,1.8461538461538463,37.41538461538462,5.7384615384615385,3.046153846153846,0.46153846153846156,0.6817226593076923,406.8818547941538,8.241256113276924,0.5912795827076923,0.16923076923076924,0.015384615384615385,1.1538461538461537,0.19402985074626866,0.16923076923076924,130.0,0.16290726817042606,Impiegato,Lavoratore,Bici Elettrica,Protezione
5,3.15,3.15,7.15,2.95,34.2,13.4,3.55,0.4,0.79861842685,655.08929336,8.327359639700001,0.7517334399,0.55,0.0,1.55,0.17847301951779565,0.55,40.0,0.05012531328320802,Impiegato,Lavoratore SINK,guantini ,Protezione
Generic,1.7340425531914894,1.5354609929078014,3.347517730496454,1.2695035460992907,55.96099290780142,4.911347517730497,2.2411347517730498,0.24113475177304963,0.5594226319007092,266.045521013156,6.99828318390071,0.4118299858687943,0.028368794326241134,0.13829787234042554,0.8900709219858156,0.04990188175326315,0.028368794326241134,564.0,0.706766917293233,Tassista,ALTRO,altro,altro
