Profile_ID,Capacita_d_ spsa,LTV,RFM_Score,Numero di Prodtti Aquistati negli ultimi 12 mesi,Eta,Tenure,LivelloDigitalizzazione,GrandCentr,Engagement,margins12months,GreenSurveyScore,leaf_id,Professione_Impiegato,Professione_Imprenditore,Professione_Operaio,Professione_Pensionato,Professione_Professionista,Professione_Tassista,LifeCycle_Genitore,LifeCycle_Lavoratore,LifeCycle_Lavoratore SINK,LifeCycle_NeoGenitore,LifeCycle_NeoLavoratore,LifeCycle_Pensionato,LifeCycle_Prossimo alla Pensione,ultimoPDTAcquistato_Bici Elettrica,ultimoPDTAcquistato_Caschetto,ultimoPDTAcquistato_DisposotivoMonitoraggio,ultimoPDTAcquistato_altro,ultimoPDTAcquistato_guantini ,ultimoPDTAcquistato_missing,PDTCategTotalSpending_Digitale,PDTCategTotalSpending_Mobility,PDTCategTotalSpending_Protezione,PDTCategTotalSpending_altro,PDTCategTotalSpending_missing
11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,234.0723271891015,1.0,1.0,1.0,234.0723271891015,1.0,1.0,1.0,1.0
4,1.0,1.0,1.0,1.0,1.0,0.357243498319355,1.0,1.0,1.0,1.0,1.0,1.2639539999001332e-05,1.0,1.0,1.0,0.678394463438434,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.1403950705368737,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
5,2.239451047520429,1.243799142917543,1.0,1.0156612550700694,0.6354654151947666,466719.58691259864,1.0,1.0,1.0,1.0,1.0,1.0,1.5645808785892197,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2356931996746987,1.0,1.0,1.0,1.0,0.9727871061003072,1.0,1.0,1.0,1.2550935185314447,1.0,1.0,0.9727871061003072,1.0,1.0,1.0
Generic,0.9310588634366812,1.0,0.9247685948141033,1.0,34.679954811230246,1.0,1.0,1.0,1.0,1.0,1.0,1462.892020762624,1.0,1.0,1.0,1.6548570400987441,1.0,3.201754582647562,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.2580432854764845,1.0,1.0,1.0,1.0,1.0,1.0,1.2580432854764845,1.0,1.0,1.0
